"","year","tri","volCobre","ied","pbiChina","precioCobre","tipoCambio","volCobre_var","ied_var","pbiChina_var","precioCobre_var","tipoCambio_var"
"1","00","1",125.548399860723,96.7476900082424,28.8322934013885,81.3391036746983,115.228734854507,NA,NA,NA,NA,NA
"2","00","2",106.335301979198,296.734690008242,32.5002162770076,78.9111335633241,116.007703648556,-15.3033395111678,206.709844940961,12.7215786290606,-2.98499737725713,0.676019566675423
"3","00","3",125.958695369285,147.962690008242,34.7563909855743,85.002830638987,115.40639616559,18.4542602737197,-50.1363692919988,6.94202982939185,7.7196927741185,-0.518334096835471
"4","00","4",164.113072037791,268.251690008242,39.462849017021,83.7844334697265,116.208076721193,30.2911812135281,81.2968458422184,13.5412736995625,-1.43336070116898,0.694658686380523
"5","01","1",113.798828209384,234.5,32.5583407227978,80.0779761913814,116.816938871042,-30.6582791996124,-12.5820978079225,-17.4962235778902,-4.42380180285448,0.523941336116818
"6","01","2",129.194216935745,75.56,36.1271816943141,75.0631144347866,119.360775649499,13.5286003982697,-67.7782515991471,10.9613723927195,-6.26247314818442,2.17762663791867
"7","01","3",200.959898591216,266.435,38.2990083699202,66.8798260623294,117.275637694912,55.5486796217541,252.613816834304,6.01161389776479,-10.9018769525833,-1.74692058026635
"8","01","4",234.378264451305,493.365,42.8725912148279,64.7838367849257,115.714613834532,16.6293703840223,85.1727438211947,11.9417787550338,-3.13396340990832,-1.33107258341351
"9","02","1",192.690647190046,206.201764275272,35.5437744663365,70.7017080081341,117.471021185529,-17.7864689624068,-58.2050278647103,-17.094410533219,9.13479583318752,1.51787859181665
"10","02","2",216.677444603752,458.508199347103,39.4635248826697,73.1229755871276,117.218260671101,12.4483454508554,122.359008885594,11.0279520821449,3.42462388421365,-0.215168398025123
"11","02","3",219.319392370261,1065.08191471135,42.2514706836516,68.8042857648805,121.516728741762,1.2192998543713,132.2928829251,7.06461424637264,-5.90606411674444,3.66706351557511
"12","02","4",207.231718210523,426.044936399727,47.2704489910678,70.4645045025669,120.8347769965,-5.5114479522774,-59.9988573165107,11.8788251064551,2.41295831971833,-0.561199887722386
"13","03","1",181.643379278891,448.160194633832,40.3160618119688,75.3486752515122,118.246049756957,-12.3476942393718,5.19082762043577,-14.7119126801886,6.93139160407688,-2.1423693607826
"14","03","2",191.493083011024,128.23161,43.9816867443822,74.4581897111133,117.523488040911,5.42255036832915,-71.387104090141,9.0922197448492,-1.18181976979226,-0.611066261858628
"15","03","3",194.27077475289,185.270729203185,47.7051657763263,79.5197308726871,118.522518369534,1.45054416493262,44.4813250049539,8.46597597219192,6.7978300052846,0.850068650340674
"16","03","4",204.503308187029,513.344539203185,53.7548391980449,93.5139679899756,117.630786033449,5.26715016561532,177.078058369492,12.6813801467192,17.598446277055,-0.752373766902859
"17","04","1",206.07389176211,445.509515321667,46.6950169777451,123.509768912653,116.397384584165,0.767999104271033,-13.2143265781714,-13.1333705497468,32.0762786217062,-1.04853626408081
"18","04","2",213.591435010103,403.587560471667,52.3130825961892,126.308212950797,117.017637227848,3.64798431461235,-9.40988989196594,12.0314028820713,2.26576736624213,0.532875069228211
"19","04","3",250.117214864114,318.51990593,56.5767134545926,129.469352535015,113.949130836591,17.1007699125591,-21.0778683174104,8.15021911691749,2.50271895260585,-2.62225974130883
"20","04","4",251.475271051458,431.421407241667,63.1796504963557,140.390210758717,111.269385439352,0.542967899303459,35.4456657840653,11.6707681280612,8.43509140184286,-2.35170323596608
"21","05","1",226.051212227879,516.812986835,54.6819916949629,148.1114742186,110.269529174063,-10.1099637818371,19.793078915414,-13.4499933675369,5.49985887061093,-0.898590624312967
"22","05","2",224.638956259865,601.67212333,60.5482351796181,153.721637548393,110.792447688253,-0.624750451057221,16.4196989349442,10.7279257810858,3.78779791328852,0.474218506333601
"23","05","3",238.010791760871,799.682168965,64.9477150334148,170.13862867107,112.544894487958,5.95258975720012,32.9099584237173,7.26607446236138,10.6796878985292,1.58173849957355
"24","05","4",284.12656698799,660.55208598,73.0270129982482,195.295800448356,117.06021997393,19.3754975923325,-17.3981724720799,12.4396954699279,14.786278679795,4.01202160836813
"25","06","1",205.124908542343,1106.77573192684,63.6380225793196,224.276190268352,114.333384188325,-27.8050937943393,67.5531355388606,-12.8568731397432,14.8392283671559,-2.32942991753528
"26","06","2",216.416431638622,1652.04376259064,71.2001481497502,327.262607298162,113.877183245685,5.50470597477348,49.2663522459529,11.8830304021547,45.9194606911165,-0.399009393344441
"27","06","3",266.942169178322,129.807279341406,75.7844096719078,348.273656350532,113.163257801422,23.3465348065942,-92.142624651913,6.4385561565347,6.4202412936311,-0.626925801916556
"28","06","4",269.776818672334,577.90428741433,85.9993079135757,320.120511066118,111.58211683741,1.06189647845352,345.201756285473,13.4788913523126,-8.08362756443416,-1.39722114291422
"29","07","1",234.047898,1277.86204985,77.2640147500919,270.638681120603,111.34656182755,-13.2438809413531,121.120015490356,-10.1573993737976,-15.457250702469,-0.211104625487213
"30","07","2",248.362227,1883.83120867218,87.5673162186128,346.600341872529,111.760504116111,6.1159827207677,47.4205458166091,13.3351877997106,28.0675550284977,0.371760278689837
"31","07","3",279.151911,1902.96467228222,93.9211291822566,349.995808489722,109.975145779688,12.3970880644423,1.01566762043008,7.255918347185,0.979648952118506,-1.59748593704309
"32","07","4",308.033531,360.726404285116,106.33975495815,327.011046373093,104.404975604564,10.3462017854501,-81.043977876242,13.222398286753,-6.56715353701263,-5.06493547758751
"33","08","1",250.314826,3057.27646905772,93.7744663364838,353.670810834416,100.147412312543,-18.7377993599015,747.533319640573,-11.8161722552508,8.15255776739305,-4.07793140831385
"34","08","2",280.382765,1619.31165426492,106.397203538292,383.574206141388,98.0852571933813,12.0120487789245,-47.034176638791,13.4607401086292,8.45514936231828,-2.05911972315982
"35","08","3",284.448335,2055.14555804333,111.463897960508,348.089555018649,100.504278242571,1.45000710011545,26.9147636052959,4.76205600685031,-9.25105248335173,2.46624326469456
"36","08","4",327.903886,-543.882026740178,119.897214352142,176.953493214601,102.547884932489,15.2771331918677,-126.464404168919,7.56596220475114,-49.1643771945066,2.0333529334797
"37","09","1",286.552171,1612.10814313272,100,156.484953547838,104.592028373365,-12.6109255685979,-396.407688409026,-16.5952265527233,-11.5671859848164,1.99335504795772
"38","09","2",283.504645,1963.56024426417,113.364026645327,212.482467880739,100.157437477875,-1.0635152368118,21.8007769905866,13.3640266453273,35.7845997735379,-4.2398937705457
"39","09","3",284.205504,1580.32336064828,121.44886670848,266.329947848759,98.8706605419965,0.247212528034613,-19.51744973119,7.13175096404017,25.3420813985668,-1.28475425118879
"40","09","4",320.675873,863.948212866666,136.289389450008,301.948798098828,96.379873606763,12.8323936330241,-45.33092186195,12.2195646149172,13.3739560788318,-2.51923768039922
"41","10","1",268.381913,2260.56800611383,118.278245777191,328.110223933949,95.0824892811344,-16.3074195482115,161.655498842117,-13.2153674952245,8.6641927372596,-1.34611540467672
"42","10","2",291.408541,1856.6676144196,134.290989899864,319.260477342636,94.7072949415781,8.57979874374024,-17.8672081796194,13.5381988610455,-2.69718708707307,-0.394598776696864
"43","10","3",318.762297,2607.51876810815,143.234449683154,329.450155131203,92.8701124893354,9.38673791307989,40.4407955337374,6.65976160422921,3.19165023913413,-1.93985315848797
"44","10","4",302.979234,1293.60269644429,161.270735558103,391.938123042452,93.1221358455244,-4.95135815889793,-50.3895154172621,12.5921424034835,18.9673511874241,0.271371864891345
"45","11","1",271.835811,2304.54289909813,141.21523347103,437.30928671441,92.519996927105,-10.2790618976877,78.1492034171388,-12.4359215065696,11.5761037277418,-0.646612014374603
"46","11","2",282.254396,1527.34983690312,160.715309167982,416.088384988368,93.124343485378,3.83267567347851,-33.7243911796634,13.8087621410569,-4.85260715258966,0.653206418445063
"47","11","3",291.460489,1774.20235118513,171.078086813591,407.497735574876,91.0096174172311,3.26162962577916,16.1621462429677,6.44790947374974,-2.06462129764381,-2.27086279376449
"48","11","4",295.456712,1733.57247187867,186.555274996215,340.809510528627,88.9668672794284,1.37110282553599,-2.29003638053574,9.04685601230066,-16.3652995401727,-2.24454315464026
"49","12","1",308.739125,3767.63498079158,158.635940913122,377.279057425945,88.111334738679,4.49555297291742,117.333572256636,-14.9657167741089,10.7008595038182,-0.961630511347888
"50","12","2",283.107463,1693.43502860997,177.510165019357,357.281878823105,87.2670622519454,-8.30204529471281,-55.0531026162683,11.897823404705,-5.30036804567812,-0.958188284444339
"51","12","3",343.973901,2618.39248751953,186.660034171767,350.589657572714,85.3819086759511,21.4994113383723,54.6201916981012,5.15456067060307,-1.87309282867494,-2.1602120288543
"52","12","4",340.847729,3787.09043786647,205.209031727837,358.681199488345,84.0156033455337,-0.908839883174739,44.6341774931564,9.93731606145576,2.30798078062302,-1.60022814154099
"53","13","1",296.078632,4148.9817977031,174.981075761836,359.152431637438,83.7858333312095,-13.1346326206562,9.55592071998439,-14.7303243485363,0.131379104833274,-0.273484930387569
"54","13","2",298.657558,1637.68636722747,193.99871855873,324.831562084335,86.23162135738,0.871027396532953,-60.5279934432563,10.8683997478555,-9.55607327970142,2.91909494592264
"55","13","3",366.836644,2604.04233769667,205.764187771698,321.428118150658,89.4760017808894,22.8285151919711,59.007389315037,6.06471491171534,-1.04775653937008,3.76240220517639
"56","13","4",363.28137,942.979949754965,226.783068754461,325.013288416619,88.9993168835051,-0.969170898859273,-63.787841076768,10.2150336316463,1.11538787788346,-0.532751674076448
"57","14","1",289.443628,2246.87954430919,190.269427082207,318.941643331128,89.6524850623166,-20.3252211914968,138.274371039707,-16.1006912344886,-1.86812210512094,0.733902463168912
"58","14","2",328.906476,1556.6152167927,211.531890044769,308.209415853282,89.1263428437231,13.6340358475606,-30.7210205934165,11.1749235221988,-3.36495020397938,-0.58686852709966
"59","14","3",350.53049,-2459.33126335199,223.690848238424,317.393900896238,89.6274447287633,6.57451755373768,-257.992240909688,5.7480497106517,2.97994953123955,0.562237683104261
"60","14","4",350.963542,1478.99819449399,244.432083612691,300.721916455602,91.9518635843047,0.123541892176071,-160.138226050856,9.27227713498588,-5.2527740430923,2.59342310000668
"61","15","1",324.531021,3407.83347213908,204.297829660229,264.957085529232,94.747088046305,-7.53141504367425,130.41498528029,-16.4193887149676,-11.8929911553853,3.03987798946297
"62","15","2",361.377613,1691.24641486039,227.833904665095,274.65463359117,97.1114313201226,11.3537965912972,-50.3717998931795,11.5204723633185,3.66004481162205,2.49542579362656
"63","15","3",420.84904,1716.11141632814,238.712638146939,238.925823331971,98.3914821937055,16.4568653011718,1.4702175418833,4.77485275856318,-13.0086318923651,1.31812584387039
"64","15","4",536.999295,1309.69601626828,260.306815969894,221.645218822671,100.620672595535,27.5990305217282,-23.6823434768264,9.04609742935496,-7.23262319171314,2.26563352043123
"65","16","1",466.008932,826.395438665921,219.534680018167,212.24135802108,103.420747555179,-13.2198242457655,-36.9017368610029,-15.6631073219544,-4.24275373569639,2.78280286487336
"66","16","2",551.926021,1447.97848795946,245.215141553301,215.111880040381,99.9469548834782,18.4367901772321,75.2161762045761,11.6976787143649,1.35248004727533,-3.35889340757963
"67","16","3",607.432735,1974.05366757625,258.195006163895,216.701300988037,100.350555175217,10.0569119570465,36.331698570892,5.29325576241868,0.738881063824848,0.403814495608845
"68","16","4",691.925523,1334.66226597385,285.980654021671,239.254006905667,101.292594719711,13.9098180146646,-32.3897679229485,10.7614970059253,10.407277582,0.938748712300108
"69","17","1",572.417332,2417.87966278303,245.836262084478,264.740351359368,97.700548644568,-17.2718286907304,81.1604122200008,-14.037450216528,10.6524211583004,-3.54620797806818
"70","17","2",615.877044,-303.482437566469,272.982541038562,257.146477026837,97.1091389854804,7.59231238651592,-112.551593953901,11.0424225962059,-2.86842345473164,-0.60532890274666
"71","17","3",613.381732,1545.51242380172,287.633956571577,288.106636289004,96.600478054051,-0.405163989193902,-609.259262642907,5.36716211860047,12.039892445789,-0.523803358513364
"72","17","4",636.366406,2700.5137395275,318.236342106971,309.833181848569,97.2981492255128,3.74720550040768,74.7325804657498,10.6393507568284,7.54114720834529,0.722223311432679
"73","18","1",571.556664,2415.45426469753,273.097978891364,315.58298150908,97.4520864197547,-10.1843437033978,-10.5557498433556,-14.1839121568441,1.85577271814636,0.158211842123657
"74","18","2",619.682366,2082.87711444515,302.736715184809,311.990583226321,98.6761512643527,8.42011038121673,-13.7687206548714,10.8527849286042,-1.13833713896121,1.25606838146652
"75","18","3",612.951992,2171.36962309233,316.946249756688,277.512602624545,99.2595563166944,-1.08610061690863,4.2485707886206,4.69369384655089,-11.0509683482226,0.591232070633563
"76","18","4",683.694435,276.584589943526,349.840090187512,279.369812700118,100.777576033771,11.5412697769648,-87.2622059827091,10.3783655607459,0.669234498904903,1.52934364549606
"77","19","1",567.177176,1566.81414243268,293.553187923092,282.429053227947,99.533256037304,-17.0423003369919,466.486420213287,-16.0893230487823,1.09505049892891,-1.23471911653285
"78","19","2",628.915159,1856.72636224494,326.446622834526,277.386573120016,99.8477059624815,10.8851317740614,18.5032935279825,11.2052725927311,-1.78539709364151,0.31592448363158
"79","19","3",606.835329,1194.29184561315,339.34714081796,263.166770552317,100.518174423754,-3.51078037856614,-35.6775521747238,3.95180010484359,-5.12634854951921,0.671491102183608
"80","19","4",752.011529,2172.91862041442,374.156519670394,267.68633757884,101.06842152536,23.9234917715214,81.9420126157558,10.2577492677645,1.71737754619929,0.547410560091
"81","20","1",516.21146,923.991393722509,278.087624629626,255.625190100922,102.162316205385,-31.3559114331078,-57.476944371424,-25.6761248274915,-4.50570155616041,1.08233082451989
"82","20","2",447.500915,-587.770256864896,336.560952267664,242.635653910128,101.771660741371,-13.3105423502221,-163.61209215347,21.0269434736325,-5.08147737148507,-0.382387046931254
"83","20","3",549.08494,-83.3650271117867,358.176757791379,296.182310062469,106.044495266779,22.7002943669959,-85.8167326199106,6.42255299614314,22.0687501154199,4.1984521961044
"84","20","4",670.150449,625.285291609562,400.515009624327,325.44741577061,107.525136315702,22.0485939752782,-850.057084214821,11.8204911156205,9.88077434535806,1.39624508108454
"85","21","1",522.10603,3376.37749997667,337.000264939334,384.416865015951,109.157290535594,-22.0912213400606,439.973919950277,-15.8582682692885,18.1195014579268,1.51792806390858
